ID_Q;CUARTO;ID_partido;#;EQUIPO;JORNADA;RESULTADO;RIVAL;RESULTADO_RIVAL;LOCAL;TITULAR;VICTORIA;MIN_Q;SEG_Q;PTS_Q;TCA_Q;TCI_Q;TCF_Q;T2A_Q;T2I_Q;T2F_Q;T3A_Q;T3I_Q;T3F_Q;TLA_Q;TLI_Q;TLF_Q;RO_Q;RD_Q;RT_Q;ASI_Q;PER_Q;REC_Q;TAP_Q;TAPR_Q;FP_Q;FPR_Q;MAT_Q;+/-_Q;VAL_Q;MIN_Eq_Q;PTS_Eq_Q;TCA_Eq_Q;TCI_Eq_Q;TCF_Eq_Q;T2A_Eq_Q;T2I_Eq_Q;T2F_Eq_Q;T3A_Eq_Q;T3I_Eq_Q;T3F_Eq_Q;TLA_Eq_Q;TLI_Eq_Q;TLF_Eq_Q;RO_Eq_Q;RD_Eq_Q;RT_Eq_Q;ASI_Eq_Q;PER_Eq_Q;REC_Eq_Q;TAP_Eq_Q;TAPR_Eq_Q;FP_Eq_Q;FPR_Eq_Q;MAT_Eq_Q;VAL_Eq_Q
56_BUR_J4_Q4;4;56_BUR_J4;56;BUR;4;89;CAZ;102;True;True;False;2,9;174;3;1;3;2;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;20,0;19;7;17;10;5;8;3;2;9;7;3;8;5;1;6;7;4;3;3;1;0;6;5;2;15
BUR_BUR_J4_Q4;4;BUR_BUR_J4;BUR;BUR;4;89;CAZ;102;True;False;False;50,0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;20,0;19;7;17;10;5;8;3;2;9;7;3;8;5;1;6;7;4;3;3;1;0;6;5;2;15
00_CAZ_J4_Q1;1;00_CAZ_J4;00;CAZ;4;102;BUR;89;False;True;True;7,0;420;10;4;5;1;4;4;0;0;1;1;2;2;0;2;0;2;0;0;0;0;0;1;1;2;5;11;20,0;25;8;17;9;6;10;4;2;7;5;7;8;1;4;6;10;5;4;3;0;0;7;6;2;28
0_CAZ_J4_Q1;1;0_CAZ_J4;0;CAZ;4;102;BUR;89;False;False;True;4,2;252;2;0;1;1;0;0;0;0;1;1;2;2;0;0;0;0;2;0;0;0;0;1;1;0;0;3;20,0;25;8;17;9;6;10;4;2;7;5;7;8;1;4;6;10;5;4;3;0;0;7;6;2;28
2_CAZ_J4_Q1;1;2_CAZ_J4;2;CAZ;4;102;BUR;89;False;True;True;5,716666666666667;343;2;1;3;2;1;3;2;0;0;0;0;0;0;1;0;1;3;2;0;0;0;1;0;0;5;1;20,0;25;8;17;9;6;10;4;2;7;5;7;8;1;4;6;10;5;4;3;0;0;7;6;2;28
3_CAZ_J4_Q1;1;3_CAZ_J4;3;CAZ;4;102;BUR;89;False;False;True;3,0;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-3;-1;20,0;25;8;17;9;6;10;4;2;7;5;7;8;1;4;6;10;5;4;3;0;0;7;6;2;28
4_CAZ_J4_Q1;1;4_CAZ_J4;4;CAZ;4;102;BUR;89;False;True;True;5,0;300;1;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;1;2;0;0;1;3;0;6;3;20,0;25;8;17;9;6;10;4;2;7;5;7;8;1;4;6;10;5;4;3;0;0;7;6;2;28
7_CAZ_J4_Q1;1;7_CAZ_J4;7;CAZ;4;102;BUR;89;False;False;True;4,283333333333333;257;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-3;0;20,0;25;8;17;9;6;10;4;2;7;5;7;8;1;4;6;10;5;4;3;0;0;7;6;2;28
10_CAZ_J4_Q1;1;10_CAZ_J4;10;CAZ;4;102;BUR;89;False;False;True;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,0;25;8;17;9;6;10;4;2;7;5;7;8;1;4;6;10;5;4;3;0;0;7;6;2;28
12_CAZ_J4_Q1;1;12_CAZ_J4;12;CAZ;4;102;BUR;89;False;False;True;5,0;300;0;0;1;1;0;1;1;0;0;0;0;0;0;1;2;3;0;1;0;0;0;0;0;0;-4;1;20,0;25;8;17;9;6;10;4;2;7;5;7;8;1;4;6;10;5;4;3;0;0;7;6;2;28
14_CAZ_J4_Q1;1;14_CAZ_J4;14;CAZ;4;102;BUR;89;False;True;True;5,0;300;0;0;2;2;0;0;0;0;2;2;0;0;0;0;1;1;0;0;0;0;0;1;0;0;6;-2;20,0;25;8;17;9;6;10;4;2;7;5;7;8;1;4;6;10;5;4;3;0;0;7;6;2;28
15_CAZ_J4_Q1;1;15_CAZ_J4;15;CAZ;4;102;BUR;89;False;False;True;5,0;300;7;2;3;1;1;2;1;1;1;0;2;2;0;0;1;1;0;0;0;0;0;1;1;0;-4;7;20,0;25;8;17;9;6;10;4;2;7;5;7;8;1;4;6;10;5;4;3;0;0;7;6;2;28
20_CAZ_J4_Q1;1;20_CAZ_J4;20;CAZ;4;102;BUR;89;False;True;True;5,8;348;3;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;4;20,0;25;8;17;9;6;10;4;2;7;5;7;8;1;4;6;10;5;4;3;0;0;7;6;2;28
23_CAZ_J4_Q1;1;23_CAZ_J4;23;CAZ;4;102;BUR;89;False;False;True;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,0;25;8;17;9;6;10;4;2;7;5;7;8;1;4;6;10;5;4;3;0;0;7;6;2;28
CAZ_CAZ_J4_Q1;1;CAZ_CAZ_J4;CAZ;CAZ;4;102;BUR;89;False;False;True;50,0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;20,0;25;8;17;9;6;10;4;2;7;5;7;8;1;4;6;10;5;4;3;0;0;7;6;2;28
0_CAZ_J4_Q2;2;0_CAZ_J4;0;CAZ;4;102;BUR;89;False;False;True;3,433333333333333;206;0;0;3;3;0;0;0;0;3;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;-1;-5;20,0;25;7;16;9;6;8;2;1;8;7;10;13;3;4;9;13;4;6;2;0;1;4;8;0;29
00_CAZ_J4_Q2;2;00_CAZ_J4;00;CAZ;4;102;BUR;89;False;True;True;8,233333333333333;494;8;1;1;0;1;1;0;0;0;0;6;7;1;0;2;2;0;0;0;0;0;0;4;0;4;13;20,0;25;7;16;9;6;8;2;1;8;7;10;13;3;4;9;13;4;6;2;0;1;4;8;0;29
2_CAZ_J4_Q2;2;2_CAZ_J4;2;CAZ;4;102;BUR;89;False;True;True;6,566666666666666;394;3;0;2;2;0;1;1;0;1;1;3;4;1;1;0;1;3;1;1;0;1;1;2;0;5;4;20,0;25;7;16;9;6;8;2;1;8;7;10;13;3;4;9;13;4;6;2;0;1;4;8;0;29
3_CAZ_J4_Q2;2;3_CAZ_J4;3;CAZ;4;102;BUR;89;False;False;True;3,933333333333333;236;2;1;2;1;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;2;20,0;25;7;16;9;6;8;2;1;8;7;10;13;3;4;9;13;4;6;2;0;1;4;8;0;29
4_CAZ_J4_Q2;2;4_CAZ_J4;4;CAZ;4;102;BUR;89;False;True;True;3,1166666666666667;187;2;1;2;1;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;20,0;25;7;16;9;6;8;2;1;8;7;10;13;3;4;9;13;4;6;2;0;1;4;8;0;29
7_CAZ_J4_Q2;2;7_CAZ_J4;7;CAZ;4;102;BUR;89;False;False;True;6,316666666666666;379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;-2;2;20,0;25;7;16;9;6;8;2;1;8;7;10;13;3;4;9;13;4;6;2;0;1;4;8;0;29
10_CAZ_J4_Q2;2;10_CAZ_J4;10;CAZ;4;102;BUR;89;False;False;True;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,0;25;7;16;9;6;8;2;1;8;7;10;13;3;4;9;13;4;6;2;0;1;4;8;0;29
12_CAZ_J4_Q2;2;12_CAZ_J4;12;CAZ;4;102;BUR;89;False;False;True;5,45;327;1;0;0;0;0;0;0;0;0;0;1;2;1;1;1;2;0;0;0;0;0;0;1;0;1;3;20,0;25;7;16;9;6;8;2;1;8;7;10;13;3;4;9;13;4;6;2;0;1;4;8;0;29
14_CAZ_J4_Q2;2;14_CAZ_J4;14;CAZ;4;102;BUR;89;False;True;True;4,55;273;0;0;2;2;0;1;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;3;0;20,0;25;7;16;9;6;8;2;1;8;7;10;13;3;4;9;13;4;6;2;0;1;4;8;0;29
15_CAZ_J4_Q2;2;15_CAZ_J4;15;CAZ;4;102;BUR;89;False;False;True;4,716666666666667;283;4;2;2;0;2;2;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;2;4;20,0;25;7;16;9;6;8;2;1;8;7;10;13;3;4;9;13;4;6;2;0;1;4;8;0;29
20_CAZ_J4_Q2;2;20_CAZ_J4;20;CAZ;4;102;BUR;89;False;True;True;3,683333333333333;221;5;2;2;0;1;1;0;1;1;0;0;0;0;0;1;1;0;2;0;0;0;2;1;0;6;3;20,0;25;7;16;9;6;8;2;1;8;7;10;13;3;4;9;13;4;6;2;0;1;4;8;0;29
23_CAZ_J4_Q2;2;23_CAZ_J4;23;CAZ;4;102;BUR;89;False;False;True;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,0;25;7;16;9;6;8;2;1;8;7;10;13;3;4;9;13;4;6;2;0;1;4;8;0;29
CAZ_CAZ_J4_Q2;2;CAZ_CAZ_J4;CAZ;CAZ;4;102;BUR;89;False;False;True;50,0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;2;20,0;25;7;16;9;6;8;2;1;8;7;10;13;3;4;9;13;4;6;2;0;1;4;8;0;29
00_CAZ_J4_Q3;3;00_CAZ_J4;00;CAZ;4;102;BUR;89;False;True;True;7,4;444;4;2;2;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;1;0;-3;6;20,0;27;8;14;6;5;9;4;3;5;2;8;8;0;3;8;11;5;8;0;2;2;11;6;0;24
0_CAZ_J4_Q3;3;0_CAZ_J4;0;CAZ;4;102;BUR;89;False;False;True;8,8;528;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;3;1;0;0;0;0;1;0;6;5;20,0;27;8;14;6;5;9;4;3;5;2;8;8;0;3;8;11;5;8;0;2;2;11;6;0;24
2_CAZ_J4_Q3;3;2_CAZ_J4;2;CAZ;4;102;BUR;89;False;True;True;0,9333333333333333;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-5;-1;20,0;27;8;14;6;5;9;4;3;5;2;8;8;0;3;8;11;5;8;0;2;2;11;6;0;24
3_CAZ_J4_Q3;3;3_CAZ_J4;3;CAZ;4;102;BUR;89;False;False;True;0,26666666666666666;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;20,0;27;8;14;6;5;9;4;3;5;2;8;8;0;3;8;11;5;8;0;2;2;11;6;0;24
4_CAZ_J4_Q3;3;4_CAZ_J4;4;CAZ;4;102;BUR;89;False;True;True;10,0;600;6;1;3;2;1;2;1;0;1;1;4;4;0;1;3;4;2;1;0;0;0;0;2;0;1;11;20,0;27;8;14;6;5;9;4;3;5;2;8;8;0;3;8;11;5;8;0;2;2;11;6;0;24
7_CAZ_J4_Q3;3;7_CAZ_J4;7;CAZ;4;102;BUR;89;False;False;True;5,916666666666667;355;3;1;2;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;3;-1;20,0;27;8;14;6;5;9;4;3;5;2;8;8;0;3;8;11;5;8;0;2;2;11;6;0;24
10_CAZ_J4_Q3;3;10_CAZ_J4;10;CAZ;4;102;BUR;89;False;False;True;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,0;27;8;14;6;5;9;4;3;5;2;8;8;0;3;8;11;5;8;0;2;2;11;6;0;24
12_CAZ_J4_Q3;3;12_CAZ_J4;12;CAZ;4;102;BUR;89;False;False;True;8,933333333333334;536;6;2;3;1;2;3;1;0;0;0;2;2;0;1;3;4;0;2;0;0;0;1;2;0;1;8;20,0;27;8;14;6;5;9;4;3;5;2;8;8;0;3;8;11;5;8;0;2;2;11;6;0;24
14_CAZ_J4_Q3;3;14_CAZ_J4;14;CAZ;4;102;BUR;89;False;True;True;1,0666666666666667;64;0;0;2;2;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;-2;20,0;27;8;14;6;5;9;4;3;5;2;8;8;0;3;8;11;5;8;0;2;2;11;6;0;24
15_CAZ_J4_Q3;3;15_CAZ_J4;15;CAZ;4;102;BUR;89;False;False;True;3,65;219;3;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;-4;1;20,0;27;8;14;6;5;9;4;3;5;2;8;8;0;3;8;11;5;8;0;2;2;11;6;0;24
20_CAZ_J4_Q3;3;20_CAZ_J4;20;CAZ;4;102;BUR;89;False;True;True;3,033333333333333;182;3;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;4;0;20,0;27;8;14;6;5;9;4;3;5;2;8;8;0;3;8;11;5;8;0;2;2;11;6;0;24
23_CAZ_J4_Q3;3;23_CAZ_J4;23;CAZ;4;102;BUR;89;False;False;True;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,0;27;8;14;6;5;9;4;3;5;2;8;8;0;3;8;11;5;8;0;2;2;11;6;0;24
CAZ_CAZ_J4_Q3;3;CAZ_CAZ_J4;CAZ;CAZ;4;102;BUR;89;False;False;True;50,0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;-3;20,0;27;8;14;6;5;9;4;3;5;2;8;8;0;3;8;11;5;8;0;2;2;11;6;0;24
00_CAZ_J4_Q4;4;00_CAZ_J4;00;CAZ;4;102;BUR;89;False;True;True;9,766666666666667;586;2;1;1;0;1;1;0;0;0;0;0;0;0;1;2;3;1;0;0;0;0;1;1;0;3;6;20,0;25;9;18;9;5;12;7;4;6;2;3;4;1;4;9;13;6;6;3;0;1;6;6;0;30
0_CAZ_J4_Q4;4;0_CAZ_J4;0;CAZ;4;102;BUR;89;False;False;True;6,133333333333334;368;1;0;1;1;0;1;1;0;0;0;1;2;1;0;1;1;2;0;1;0;0;0;2;0;1;5;20,0;25;9;18;9;5;12;7;4;6;2;3;4;1;4;9;13;6;6;3;0;1;6;6;0;30
2_CAZ_J4_Q4;4;2_CAZ_J4;2;CAZ;4;102;BUR;89;False;True;True;9,983333333333333;599;4;1;5;4;1;5;4;0;0;0;2;2;0;0;1;1;0;3;0;0;1;0;3;0;3;0;20,0;25;9;18;9;5;12;7;4;6;2;3;4;1;4;9;13;6;6;3;0;1;6;6;0;30
3_CAZ_J4_Q4;4;3_CAZ_J4;3;CAZ;4;102;BUR;89;False;False;True;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,0;25;9;18;9;5;12;7;4;6;2;3;4;1;4;9;13;6;6;3;0;1;6;6;0;30
4_CAZ_J4_Q4;4;4_CAZ_J4;4;CAZ;4;102;BUR;89;False;True;True;10,0;600;7;3;5;2;2;3;1;1;2;1;0;0;0;0;2;2;0;1;1;0;0;2;0;0;6;5;20,0;25;9;18;9;5;12;7;4;6;2;3;4;1;4;9;13;6;6;3;0;1;6;6;0;30
7_CAZ_J4_Q4;4;7_CAZ_J4;7;CAZ;4;102;BUR;89;False;False;True;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,0;25;9;18;9;5;12;7;4;6;2;3;4;1;4;9;13;6;6;3;0;1;6;6;0;30
10_CAZ_J4_Q4;4;10_CAZ_J4;10;CAZ;4;102;BUR;89;False;False;True;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,0;25;9;18;9;5;12;7;4;6;2;3;4;1;4;9;13;6;6;3;0;1;6;6;0;30
12_CAZ_J4_Q4;4;12_CAZ_J4;12;CAZ;4;102;BUR;89;False;False;True;1,2833333333333334;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;20,0;25;9;18;9;5;12;7;4;6;2;3;4;1;4;9;13;6;6;3;0;1;6;6;0;30
14_CAZ_J4_Q4;4;14_CAZ_J4;14;CAZ;4;102;BUR;89;False;True;True;8,616666666666667;517;5;2;3;1;1;2;1;1;1;0;0;0;0;2;2;4;3;0;0;0;0;1;0;0;9;10;20,0;25;9;18;9;5;12;7;4;6;2;3;4;1;4;9;13;6;6;3;0;1;6;6;0;30
15_CAZ_J4_Q4;4;15_CAZ_J4;15;CAZ;4;102;BUR;89;False;False;True;3,8833333333333333;233;6;2;3;1;0;0;0;2;3;1;0;0;0;0;1;1;0;1;0;0;0;2;0;0;8;3;20,0;25;9;18;9;5;12;7;4;6;2;3;4;1;4;9;13;6;6;3;0;1;6;6;0;30
20_CAZ_J4_Q4;4;20_CAZ_J4;20;CAZ;4;102;BUR;89;False;True;True;0,3333333333333333;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;20,0;25;9;18;9;5;12;7;4;6;2;3;4;1;4;9;13;6;6;3;0;1;6;6;0;30
23_CAZ_J4_Q4;4;23_CAZ_J4;23;CAZ;4;102;BUR;89;False;False;True;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,0;25;9;18;9;5;12;7;4;6;2;3;4;1;4;9;13;6;6;3;0;1;6;6;0;30
CAZ_CAZ_J4_Q4;4;CAZ_CAZ_J4;CAZ;CAZ;4;102;BUR;89;False;False;True;50,0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;20,0;25;9;18;9;5;12;7;4;6;2;3;4;1;4;9;13;6;6;3;0;1;6;6;0;30
2_GIR_J4_Q1;1;2_GIR_J4;2;GIR;4;85;DGC;81;True;False;True;2,6166666666666667;157;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;2;0;0;3;-3;20,0;23;8;15;7;4;7;3;4;8;4;3;4;1;2;6;8;4;6;3;0;0;7;6;2;23
4_GIR_J4_Q1;1;4_GIR_J4;4;GIR;4;85;DGC;81;True;True;True;8,1;486;4;2;4;2;2;2;0;0;2;2;0;0;0;0;0;0;0;0;1;0;0;1;0;1;3;2;20,0;23;8;15;7;4;7;3;4;8;4;3;4;1;2;6;8;4;6;3;0;0;7;6;2;23
5_GIR_J4_Q1;1;5_GIR_J4;5;GIR;4;85;DGC;81;True;True;True;6,2;372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;3;-1;20,0;23;8;15;7;4;7;3;4;8;4;3;4;1;2;6;8;4;6;3;0;0;7;6;2;23
7_GIR_J4_Q1;1;7_GIR_J4;7;GIR;4;85;DGC;81;True;False;True;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,0;23;8;15;7;4;7;3;4;8;4;3;4;1;2;6;8;4;6;3;0;0;7;6;2;23
8_GIR_J4_Q1;1;8_GIR_J4;8;GIR;4;85;DGC;81;True;False;True;3,8;228;6;2;3;1;0;0;0;2;3;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;-3;7;20,0;23;8;15;7;4;7;3;4;8;4;3;4;1;2;6;8;4;6;3;0;0;7;6;2;23
9_GIR_J4_Q1;1;9_GIR_J4;9;GIR;4;85;DGC;81;True;False;True;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,0;23;8;15;7;4;7;3;4;8;4;3;4;1;2;6;8;4;6;3;0;0;7;6;2;23
10_GIR_J4_Q1;1;10_GIR_J4;10;GIR;4;85;DGC;81;True;False;True;3,2;192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;-2;1;20,0;23;8;15;7;4;7;3;4;8;4;3;4;1;2;6;8;4;6;3;0;0;7;6;2;23
