Equipo,Dorsal,Nombre,Apellido,Posición,Altura,Fecha_Nacim,Pais_Nacim,Comunidad,Nacionalidad,Licencia,Foto,Bandera_Pais,Bandera_Comunidad
CAZ,3,Justin,Wright-Foreman,1,183,27/10/1997,USA,,USA,EXT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/3.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
CAZ,4,Santi,Yusta,3,200,28/04/1997,ESP,MAD,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/4.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/MAD.png?raw=true
CAZ,7,Miguel,González,2,203,20/03/1999,ESP,CYL,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/7.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/CYL.png?raw=true
CAZ,9,Matija,Lukic,2,202,19/10/2009,NLD,,NLD,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/9.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/NLD.png?raw=true,
CAZ,10,Jaime,Fernández,4,206,15/07/2000,ESP,ARA,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/10.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/ARA.png?raw=true
CAZ,11,Gabriel,Olaseni,5,208,29/12/1991,GBR,,GBR,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/11.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/GBR.png?raw=true,
CAZ,14,Bojan,Dubljevic,5,205,24/10/1991,MNE,,MNE,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/14.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/MNE.png?raw=true,
CAZ,15,Joaquín,Rodríguez,2,194,14/06/1999,URY,,ESP,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/15.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/URY.png?raw=true,
CAZ,17,Carlos,Alías,2,199,04/01/2005,ESP,ARA,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/17.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/ARA.png?raw=true
CAZ,18,Aleksandr,Savkov,3,208,20/06/2005,RUS,,RUS,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/18.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/RUS.png?raw=true,
CAZ,20,Dj,Stephens,3,198,19/12/1990,USA,,USA,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/20.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
CAZ,21,Christ,Koumadje,5,224,07/07/1996,TCD,,TCD,COT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/21.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/TCD.png?raw=true,
CAZ,23,Youssouf,Traoré,5,205,26/12/2006,MLI,,MLI,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/23.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/MLI.png?raw=true,
CAZ,3,Erik,Stevenson,2,190,28/04/1999,USA,,USA,EXT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/3.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
CAZ,5,Lucas,Langarita,2,196,04/01/2005,ESP,ARA,ESP,JFL,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/5.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/ESP/ARA.png?raw=true
CAZ,5,Isaiah,Washington,1,185,20/07/1998,USA,,CAF,COT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/5.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
CAZ,8,Emir,Kabaca,4,208,13/12/2000,TUR,,TUR,EUR,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/8.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/TUR.png?raw=true,
CAZ,11,Josh,Richardson,2,196,15/09/1993,USA,,USA,EXT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/11.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
CAZ,12,Joel,Soriano,5,208,30/01/2000,USA,,DOM,COT,https://github.com/DJordanV/ACB_25-26/blob/develop/img/clubes/CAZ/cuerpo/12.webp?raw=true,https://github.com/DJordanV/ACB_25-26/blob/develop/img/banderas/USA.png?raw=true,
