ID_partido;#;EQUIPO;JORNADA;RESULTADO;RIVAL;RESULTADO_RIVAL;LOCAL;TITULAR;VICTORIA;MIN;SEG;PTS;TCA;TCI;TCF;T2A;T2I;T2F;T3A;T3I;T3F;TLA;TLI;TLF;RO;RD;RT;ASI;PER;REC;TAP;TAPR;FP;FPR;MAT;+/-;VAL;MIN_Eq;TCA_Eq;TCI_Eq;TCF_Eq;T2A_Eq;T2I_Eq;T2F_Eq;T3A_Eq;T3I_Eq;T3F_Eq;TLA_Eq;TLI_Eq;TLF_Eq;RO_Eq;RD_Eq;RT_Eq;ASI_Eq;PER_Eq;REC_Eq;TAP_Eq;TAPR_Eq;FP_Eq;FPR_Eq;MAT_Eq;VAL_Eq;POS_Eq;POS_Rival;PACE;ORtg;DRtg;NRtg;%TE_Eq;%TR_Eq;%ASI_Eq;%PER_Eq;%RO_Eq;%RD_Eq;%RT_Eq;RTL_Eq;RT3I_Eq;%USO;%TR;%TE;%ASI;%PER;%RO;%RD;%RT;%REC;%TAP;RTL;RT3I;PPT
6_BKN_J3;6;BKN;3;83;COV;80;False;True;True;22,716666666666665;1363;10;5;11;6;5;10;5;0;1;1;0;0;0;2;3;5;1;1;0;1;0;4;0;0;-1;6;80,0;32;62;30;22;37;15;10;25;15;9;15;6;8;25;33;16;11;3;5;3;21;18;3;87;71,6;68,88;35,12;115,92178770949721;116,14401858304298;-0,22223087354576876;0,5967741935483871;0,6049562682215744;50,0;15,363128491620113;28,571428571428573;73,52941176470588;53,225806451612904;0,24193548387096775;0,4032258064516129;59,02195698774885;0,45454545454545453;0,45454545454545453;24,46982055464927;8,333333333333334;25,154595954302486;31,073324414138366;28,400350270986678;0,0;32,01494030547589;0,0;0,09090909090909091;0,9090909090909091
8_BKN_J3;8;BKN;3;83;COV;80;False;False;True;22,3;1338;10;4;6;2;3;3;0;1;3;2;1;1;0;0;4;4;0;0;0;0;0;1;1;1;7;12;80,0;32;62;30;22;37;15;10;25;15;9;15;6;8;25;33;16;11;3;5;3;21;18;3;87;71,6;68,88;35,12;115,92178770949721;116,14401858304298;-0,22223087354576876;0,5967741935483871;0,6049562682215744;50,0;15,363128491620113;28,571428571428573;73,52941176470588;53,225806451612904;0,24193548387096775;0,4032258064516129;32,26695392940352;0,7763975155279502;0,75;0,0;0,0;0,0;42,20522289633342;23,144799652828002;0,0;0,0;0,16666666666666666;0,5;1,6666666666666667
9_BKN_J3;9;BKN;3;83;COV;80;False;False;True;22,9;1374;15;4;11;7;0;3;3;4;8;4;3;5;2;0;2;2;1;1;1;0;0;2;3;0;9;10;80,0;32;62;30;22;37;15;10;25;15;9;15;6;8;25;33;16;11;3;5;3;21;18;3;87;71,6;68,88;35,12;115,92178770949721;116,14401858304298;-0,22223087354576876;0,5967741935483871;0,6049562682215744;50,0;15,363128491620113;28,571428571428573;73,52941176470588;53,225806451612904;0,24193548387096775;0,4032258064516129;69,28350125637336;0,5681818181818182;0,5454545454545454;19,37984496124031;7,042253521126761;0,0;20,549704597996406;11,269192844062545;5,071791204499694;0,0;0,45454545454545453;0,7272727272727273;1,3636363636363635
10_BKN_J3;10;BKN;3;83;COV;80;False;False;True;25,866666666666667;1552;14;6;9;3;6;9;3;0;0;0;2;2;0;0;1;1;2;1;1;0;2;1;6;1;-1;17;80,0;32;62;30;22;37;15;10;25;15;9;15;6;8;25;33;16;11;3;5;3;21;18;3;87;71,6;68,88;35,12;115,92178770949721;116,14401858304298;-0,22223087354576876;0,5967741935483871;0,6049562682215744;50,0;15,363128491620113;28,571428571428573;73,52941176470588;53,225806451612904;0,24193548387096775;0,4032258064516129;46,9964867822381;0,7085020242914979;0,6666666666666666;46,0122699386503;9,191176470588236;0,0;9,096422073984233;4,988360492184902;4,4901038112001155;0,0;0,2222222222222222;0,0;1,5555555555555556
18_BKN_J3;18;BKN;3;83;COV;80;False;False;True;16,433333333333334;986;1;0;1;1;0;1;1;0;0;0;1;2;1;1;3;4;3;1;0;2;1;2;3;0;8;7;80,0;32;62;30;22;37;15;10;25;15;9;15;6;8;25;33;16;11;3;5;3;21;18;3;87;71,6;68,88;35,12;115,92178770949721;116,14401858304298;-0,22223087354576876;0,5967741935483871;0,6049562682215744;50,0;15,363128491620113;28,571428571428573;73,52941176470588;53,225806451612904;0,24193548387096775;0,4032258064516129;19,58140220064138;0,26595744680851063;0,0;45,63894523326572;34,72222222222222;17,386264850767894;42,95430139601479;31,407446182032324;0,0;88,51189378572745;2,0;0,0;1,0
25_BKN_J3;25;BKN;3;83;COV;80;False;True;True;16,383333333333333;983;6;2;6;4;0;2;2;2;4;2;0;0;0;0;1;1;1;1;0;0;0;4;0;0;-7;-1;80,0;32;62;30;22;37;15;10;25;15;9;15;6;8;25;33;16;11;3;5;3;21;18;3;87;71,6;68,88;35,12;115,92178770949721;116,14401858304298;-0,22223087354576876;0,5967741935483871;0,6049562682215744;50,0;15,363128491620113;28,571428571428573;73,52941176470588;53,225806451612904;0,24193548387096775;0,4032258064516129;47,73893621737129;0,5;0,5;21,96193265007321;14,285714285714286;0,0;14,36179761833523;7,875824500377384;0,0;0,0;0,0;0,6666666666666666;1,0
77_BKN_J3;77;BKN;3;83;COV;80;False;False;True;15,366666666666667;922;4;1;3;2;0;0;0;1;3;2;1;4;3;1;3;4;1;1;0;0;0;1;2;0;10;4;80,0;32;62;30;22;37;15;10;25;15;9;15;6;8;25;33;16;11;3;5;3;21;18;3;87;71,6;68,88;35,12;115,92178770949721;116,14401858304298;-0,22223087354576876;0,5967741935483871;0,6049562682215744;50,0;15,363128491620113;28,571428571428573;73,52941176470588;53,225806451612904;0,24193548387096775;0,4032258064516129;41,88126370896399;0,42016806722689076;0,5;19,430051813471504;17,36111111111111;18,593120545398204;45,935944876866145;33,587572598138685;0,0;0,0;1,3333333333333333;1,0;1,3333333333333333
BKN_BKN_J3;BKN;BKN;3;83;COV;80;False;False;True;200,0;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;1;0;0;0;0;0;0;0;3;80,0;32;62;30;22;37;15;10;25;15;9;15;6;8;25;33;16;11;3;5;3;21;18;3;87;71,6;68,88;35,12;115,92178770949721;116,14401858304298;-0,22223087354576876;0,5967741935483871;0,6049562682215744;50,0;15,363128491620113;28,571428571428573;73,52941176470588;53,225806451612904;0,24193548387096775;0,4032258064516129;0,558659217877095;0,0;0,0;0,0;100,0;2,857142857142857;2,3529411764705883;2,5806451612903225;0,0;0,0;0,0;0,0;0,0
0_UNI_J3;0;UNI;3;77;BAR;83;True;True;False;12,566666666666666;754;9;3;5;2;3;4;1;0;1;1;3;4;1;2;4;6;0;0;1;0;0;0;2;0;-15;15;80,0;28;73;45;23;40;17;5;33;28;16;20;4;16;24;40;11;12;11;1;2;29;20;2;68;77,8;76,52;38,58;98,97172236503856;108,46837428123366;-9,496651916195106;0,4178082191780822;0,47066014669926654;39,285714285714285;15,424164524421595;35,55555555555556;75,0;51,94805194805195;0,273972602739726;0,4520547945205479;55,31424519102916;0,6656804733727811;0,6;0,0;0,0;28,293545534924846;79,57559681697613;49,60556684694616;8,319456018502471;0,0;0,8;0,2;1,8
2_UNI_J3;2;UNI;3;77;BAR;83;True;True;False;16,233333333333334;974;4;1;3;2;1;3;2;0;0;0;2;2;0;0;0;0;0;1;0;0;0;1;2;0;-10;2;80,0;28;73;45;23;40;17;5;33;28;16;20;4;16;24;40;11;12;11;1;2;29;20;2;68;77,8;76,52;38,58;98,97172236503856;108,46837428123366;-9,496651916195106;0,4178082191780822;0,47066014669926654;39,285714285714285;15,424164524421595;35,55555555555556;75,0;51,94805194805195;0,273972602739726;0,4520547945205479;30,91167264031925;0,5154639175257733;0,3333333333333333;0,0;20,491803278688526;0,0;0,0;0,0;0,0;0,0;0,6666666666666666;0,0;1,3333333333333333
